Cohort,his_NACCREAS,his_NACCREFR,his_BIRTHMO,his_BIRTHYR,his_HISPANIC,his_HISPOR,his_RACE,his_RACESEC,his_RACETER,his_PRIMLANG,his_EDUC,his_MARISTAT,his_LIVSIT,his_INDEPEND,his_RESIDENC,his_HANDED,his_NACCAGE,his_NACCNIHR,his_NACCFAM,his_NACCMOM,his_NACCDAD,his_NACCFADM,his_NACCAM,his_NACCAMS,his_NACCFFTD,his_NACCFM,his_NACCFMS,his_NACCOM,his_NACCOMS,his_TOBAC30,his_TOBAC100,his_SMOKYRS,his_PACKSPER,his_QUITSMOK,his_ALCOCCAS,his_ALCFREQ,his_CVHATT,his_HATTMULT,his_HATTYEAR,his_CVAFIB,his_CVANGIO,his_CVBYPASS,his_CVPACDEF,his_CVPACE,his_CVCHF,his_CVANGINA,his_CVHVALVE,his_CVOTHR,his_CBSTROKE,his_STROKMUL,his_NACCSTYR,his_CBTIA,his_TIAMULT,his_NACCTIYR,his_PD,his_PDYR,his_PDOTHR,his_PDOTHRYR,his_SEIZURES,his_TBI,his_TBIBRIEF,his_TRAUMBRF,his_TBIEXTEN,his_TRAUMEXT,his_TBIWOLOS,his_TRAUMCHR,his_TBIYEAR,his_NCOTHR,his_DIABETES,his_DIABTYPE,his_HYPERTEN,his_HYPERCHO,his_B12DEF,his_THYROID,his_ARTHRIT,his_ARTHTYPE,his_ARTHSPIN,his_ARTHUNK,his_INCONTU,his_INCONTF,his_APNEA,his_RBD,his_INSOMN,his_OTHSLEEP,his_ALCOHOL,his_ABUSOTHR,his_PTSD,his_BIPOLAR,his_SCHIZ,his_DEP2YRS,his_DEPOTHR,his_ANXIETY,his_OCD,his_NPSYDEV,his_PSYCDIS,his_NACCTBI,med_ANYMEDS,med_NACCAMD,med_NACCAHTN,med_NACCHTNC,med_NACCACEI,med_NACCAAAS,med_NACCBETA,med_NACCCCBS,med_NACCDIUR,med_NACCVASD,med_NACCANGI,med_NACCLIPL,med_NACCNSD,med_NACCAC,med_NACCADEP,med_NACCAPSY,med_NACCADMD,med_NACCPDMD,med_NACCEMD,med_NACCEPMD,med_NACCDBMD,ph_HEIGHT,ph_WEIGHT,ph_NACCBMI,ph_BPSYS,ph_BPDIAS,ph_HRATE,ph_VISION,ph_VISCORR,ph_VISWCORR,ph_HEARING,ph_HEARAID,ph_HEARWAID,cvd_ABRUPT,cvd_STEPWISE,cvd_SOMATIC,cvd_EMOT,cvd_HXHYPER,cvd_HXSTROKE,cvd_FOCLSYM,cvd_FOCLSIGN,cvd_HACHIN,cvd_CVDCOG,cvd_STROKCOG,cvd_CVDIMAG,cvd_CVDIMAG1,cvd_CVDIMAG2,cvd_CVDIMAG3,cvd_CVDIMAG4,updrs_PDNORMAL,updrs_SPEECH,updrs_FACEXP,updrs_TRESTFAC,updrs_TRESTRHD,updrs_TRESTLHD,updrs_TRESTRFT,updrs_TRESTLFT,updrs_TRACTRHD,updrs_TRACTLHD,updrs_RIGDNECK,updrs_RIGDUPRT,updrs_RIGDUPLF,updrs_RIGDLORT,updrs_RIGDLOLF,updrs_TAPSRT,updrs_TAPSLF,updrs_HANDMOVR,updrs_HANDMOVL,updrs_HANDALTR,updrs_HANDALTL,updrs_LEGRT,updrs_LEGLF,updrs_ARISING,updrs_POSTURE,updrs_GAIT,updrs_POSSTAB,updrs_BRADYKIN,npiq_NPIQINF,npiq_DEL,npiq_HALL,npiq_AGIT,npiq_DEPD,npiq_ELAT,npiq_APA,npiq_DISN,npiq_IRR,npiq_MOT,npiq_NITE,npiq_APP,gds_NOGDS,gds_SATIS,gds_DROPACT,gds_EMPTY,gds_BORED,gds_SPIRITS,gds_AFRAID,gds_HAPPY,gds_HELPLESS,gds_STAYHOME,gds_MEMPROB,gds_WONDRFUL,gds_WRTHLESS,gds_ENERGY,gds_HOPELESS,gds_BETTER,gds_NACCGDS,faq_BILLS,faq_TAXES,faq_SHOPPING,faq_GAMES,faq_STOVE,faq_MEALPREP,faq_EVENTS,faq_PAYATTN,faq_REMDATES,faq_TRAVEL,exam_NORMEXAM,exam_FOCLDEF,exam_GAITDIS,exam_EYEMOVE,exam_PARKSIGN,exam_RESTTRL,exam_RESTTRR,exam_SLOWINGL,exam_SLOWINGR,exam_RIGIDL,exam_RIGIDR,exam_BRADY,exam_PARKGAIT,exam_POSTINST,exam_CVDSIGNS,exam_CORTDEF,exam_SIVDFIND,exam_CVDMOTL,exam_CVDMOTR,exam_CORTVISL,exam_CORTVISR,exam_SOMATL,exam_SOMATR,exam_POSTCORT,exam_PSPCBS,exam_EYEPSP,exam_DYSPSP,exam_AXIALPSP,exam_GAITPSP,exam_APRAXSP,exam_APRAXL,exam_APRAXR,exam_CORTSENL,exam_CORTSENR,exam_ATAXL,exam_ATAXR,exam_ALIENLML,exam_ALIENLMR,exam_DYSTONL,exam_DYSTONR,exam_MYOCLLT,exam_MYOCLRT,exam_ALSFIND,exam_GAITNPH,exam_OTHNEUR,bat_MMSECOMP,bat_MMSELOC,bat_MMSELAN,bat_MMSEVIS,bat_MMSEHEAR,bat_MMSEORDA,bat_MMSEORLO,bat_PENTAGON,bat_NACCMMSE,bat_NPSYCLOC,bat_NPSYLAN,bat_LOGIMO,bat_LOGIDAY,bat_LOGIYR,bat_LOGIPREV,bat_LOGIMEM,bat_MEMUNITS,bat_MEMTIME,bat_UDSBENTC,bat_UDSBENTD,bat_UDSBENRS,bat_DIGIF,bat_DIGIFLEN,bat_DIGIB,bat_DIGIBLEN,bat_ANIMALS,bat_VEG,bat_TRAILA,bat_TRAILARR,bat_TRAILALI,bat_TRAILB,bat_TRAILBRR,bat_TRAILBLI,bat_WAIS,bat_BOSTON,bat_UDSVERFC,bat_UDSVERFN,bat_UDSVERNF,bat_UDSVERLC,bat_UDSVERLR,bat_UDSVERLN,bat_UDSVERTN,bat_UDSVERTE,bat_UDSVERTI,bat_COGSTAT,bat_MODCOMM,bat_MOCACOMP,bat_MOCAREAS,bat_MOCALOC,bat_MOCALAN,bat_MOCAVIS,bat_MOCAHEAR,bat_MOCATOTS,bat_NACCMOCA,bat_MOCATRAI,bat_MOCACUBE,bat_MOCACLOC,bat_MOCACLON,bat_MOCACLOH,bat_MOCANAMI,bat_MOCAREGI,bat_MOCADIGI,bat_MOCALETT,bat_MOCASER7,bat_MOCAREPE,bat_MOCAFLUE,bat_MOCAABST,bat_MOCARECN,bat_MOCARECC,bat_MOCARECR,bat_MOCAORDT,bat_MOCAORMO,bat_MOCAORYR,bat_MOCAORDY,bat_MOCAORPL,bat_MOCAORCT,bat_CRAFTVRS,bat_CRAFTURS,bat_DIGFORCT,bat_DIGFORSL,bat_DIGBACCT,bat_DIGBACLS,bat_CRAFTDVR,bat_CRAFTDRE,bat_CRAFTDTI,bat_CRAFTCUE,bat_MINTTOTS,bat_MINTTOTW,bat_MINTSCNG,bat_MINTSCNC,bat_MINTPCNG,bat_MINTPCNC,bat_MOCBTOTS,bat_NACCMOCB,bat_REY1REC,bat_REY1INT,bat_REY2REC,bat_REY2INT,bat_REY3REC,bat_REY3INT,bat_REY4REC,bat_REY4INT,bat_REY5REC,bat_REY5INT,bat_REY6REC,bat_REY6INT,bat_OTRAILA,bat_OTRLARR,bat_OTRLALI,bat_OTRAILB,bat_OTRLBRR,bat_OTRLBLI,bat_REYDREC,bat_REYDINT,bat_REYTCOR,bat_REYFPOS,bat_VNTTOTW,bat_VNTPCNC,bat_RESPVAL,bat_RESPHEAR,bat_RESPDIST,bat_RESPINTR,bat_RESPDISN,bat_RESPFATG,bat_RESPEMOT,bat_RESPASST,bat_RESPOTH,apoe_NACCNE4S,his_SEX,npiq_ANX,his_ARTHUPEX,his_ARTHLOEX,med_NACCAANX,exam_NACCNREX,cdr_CDRGLOB,cdr_CDRSUM
nacc,0.9985225694061611,0.9757877792233567,1.0,1.0,0.9954574522040177,0.9977728285077951,0.9932302807118129,0.02798297647136651,0.005380493505920748,0.9983682109859093,0.9921277205671569,0.99420053363911,0.9976405212904363,0.994002072813072,0.9864605614236257,0.9921277205671569,1.0,0.9832410858012305,0.8816952964784229,0.957154512778672,0.9410350834638029,1.0,0.18803060706961564,0.0029769123905709054,1.0,0.1889567575911266,0.004167677346799268,0.18840547751879866,0.0013892257822664227,0.8420472336765971,0.8348144391276544,0.8137555403647269,0.8152991245672452,0.3099737590685572,0.2750667048887517,0.17471168052217248,0.8436790226906877,0.008710225142781539,0.008203047476239829,0.8420692848794902,0.8449138900527023,0.8449138900527023,0.27802156607642947,0.5670687335994179,0.8439656883282983,0.2780877196851088,0.27802156607642947,0.842796974574963,0.8432159474299323,0.006747668085294053,0.03312090674546297,0.8385851948223776,0.008158945070453593,0.038280888222452535,0.8436569714877946,0.020904540342675693,0.8425544113431388,0.0258660609936272,0.8426205649518181,0.27566208736686587,0.27167081964321155,0.5612251648327417,0.27129594919402855,0.5632759267018016,0.27268517497629496,0.5641800260204194,0.039008577917925426,0.5642461796290987,0.8436349202849015,0.03772960815012459,0.8438554323138328,0.8371077642285387,0.8264570332311627,0.8388057068513087,0.2766764426999493,0.1276985159540453,0.2766764426999493,0.2766764426999493,0.8443626099803744,0.8443185075745882,0.2681646783832058,0.27129594919402855,0.2765661866854837,0.2754636265408278,0.8428410769807493,0.8433703058501841,0.2765000330768043,0.27751438840988774,0.2778451564532845,0.8372621226487905,0.8301836865200997,0.2766543914970562,0.2765441354825906,0.27599285541026264,0.8424882577344595,0.8367769961851419,0.9889302961476548,0.9889302961476548,0.9889302961476548,0.9889302961476548,0.9889302961476548,0.9889302961476548,0.9889302961476548,0.9889302961476548,0.9889302961476548,0.9889302961476548,0.9889302961476548,0.9889302961476548,0.9889302961476548,0.9889302961476548,0.9889302961476548,0.9889302961476548,0.9889302961476548,0.9889302961476548,0.9889302961476548,0.9889302961476548,0.9889302961476548,0.8922798738671195,0.9078700743125537,0.8835034951156585,0.8979029306048645,0.8976603673730402,0.8982998522569406,0.9551037509096121,0.9583011753291142,0.7353855652825861,0.957330922401817,0.9593155306621977,0.14302410196476217,0.5553595448631723,0.5553595448631723,0.5553595448631723,0.5553595448631723,0.5553595448631723,0.5553595448631723,0.5553595448631723,0.5553595448631723,0.5553595448631723,0.3052989040552162,0.11138062581313811,0.22538534477055724,0.023925555139032835,0.023925555139032835,0.023925555139032835,0.023925555139032835,0.5520077620234184,0.5537718582548679,0.5537718582548679,0.5537718582548679,0.5537718582548679,0.5537718582548679,0.5537718582548679,0.5537718582548679,0.5537718582548679,0.5537718582548679,0.5537718582548679,0.5537718582548679,0.5537718582548679,0.5537718582548679,0.5537718582548679,0.5537718582548679,0.5537718582548679,0.5537718582548679,0.5537718582548679,0.5537718582548679,0.5537718582548679,0.5537718582548679,0.5537718582548679,0.5537718582548679,0.5537718582548679,0.5537718582548679,0.5537718582548679,0.5537718582548679,0.9621821870383029,0.9607268076473572,0.9605945004299985,0.9613883437341507,0.9599770667489912,0.9613442413283645,0.9605724492271054,0.9610134732849677,0.9606165516328916,0.960329885995281,0.9521268385190412,0.9597124523142737,0.9696354936161767,0.922512073033584,0.9224900218306908,0.9226664314538358,0.9228428410769808,0.922335663410439,0.9220489977728286,0.921762332135218,0.9224679706277977,0.9205495159760965,0.9190500341793645,0.9217182297294317,0.9220931001786148,0.9215638713091799,0.9219166905554698,0.9211669496571038,0.9231074555116981,0.9012988158504046,0.8733158393790381,0.9556329797790469,0.8935808948378134,0.9581027145030762,0.8995788220247415,0.9652693554433395,0.9686652406888796,0.9715318970649849,0.9635714128205694,0.4203400295486119,0.5509493042845487,0.5472888046042912,0.5499128977485722,0.4203400295486119,0.41831131888244505,0.4183995236940175,0.4192595206068491,0.41930362301263535,0.41870824053452116,0.4189949061721317,0.41948003263578026,0.4185759333171625,0.41745132196961343,0.4203400295486119,0.41981080067917703,0.41985490308496326,0.42005336391100134,0.41994310789653577,0.41970054466471146,0.41967849346181835,0.41970054466471146,0.41967849346181835,0.4203400295486119,0.4203400295486119,0.41985490308496326,0.4197446470704977,0.41985490308496326,0.41970054466471146,0.4195682374473528,0.41983285188207015,0.4197887494762839,0.4193477254184216,0.4194138790271009,0.41967849346181835,0.4196343910560321,0.41981080067917703,0.4197666982733908,0.41985490308496326,0.41987695428785643,0.41987695428785643,0.41985490308496326,0.4203400295486119,0.4203400295486119,0.4203400295486119,0.005821517563783104,0.5664954023241968,0.5664954023241968,0.005799466360889987,0.005799466360889987,0.5483031599373746,0.5482811087344814,0.40212573595889656,0.5457452204017729,0.9708924121810845,0.9832631370041236,0.0013671745793733048,0.0013671745793733048,0.0013671745793733048,0.0037266532889369116,0.5111689342653641,0.5087874043529075,0.4986879534278595,0.3894242430924607,0.3847273368762266,0.38468323447044034,0.5177401927275133,0.5176299367130477,0.5151160995832322,0.5150278947716598,0.920262850338486,0.9093695561092857,0.8648261262651877,0.7429932302807118,0.7431034862951774,0.7611193190588547,0.6595294273302609,0.6570155902004454,0.4608260380603762,0.5096253500628459,0.4008026637853095,0.4008026637853095,0.4008026637853095,0.39795805861209727,0.39795805861209727,0.39795805861209727,0.39734062493109,0.39734062493109,0.39734062493109,0.9832631370041236,0.012370724823039097,0.4167677346799268,0.014509691503671525,0.39171756819334497,0.40234624798782775,0.39171756819334497,0.40234624798782775,0.3864252794989967,0.38404374958654,0.38971090873007125,0.39012988158504047,0.3900196255705749,0.38999757436768173,0.38999757436768173,0.39085757128051335,0.39061500804868904,0.4016185582923548,0.40128779024895805,0.3996118988290811,0.4012216366402787,0.4008247149882026,0.4012216366402787,0.4006483053650577,0.3398310877858387,0.2799179695252376,0.40137599506053057,0.4013980462634237,0.4014200974663168,0.4013980462634237,0.40135394385763745,0.40137599506053057,0.3922688482656729,0.3922688482656729,0.39678934485876205,0.39678934485876205,0.39581909193146486,0.39581909193146486,0.3894021918895676,0.3894021918895676,0.3883437341506979,0.3894021918895676,0.38137555403647266,0.38137555403647266,0.38137555403647266,0.2622549560078502,0.38137555403647266,0.31526604776290545,0.010275860548192904,0.010099450925047961,0.0013671745793733048,0.0013671745793733048,0.0013671745793733048,0.0013671745793733048,0.0013671745793733048,0.0013671745793733048,0.0013671745793733048,0.0013671745793733048,0.0013671745793733048,0.0013671745793733048,0.0013671745793733048,0.0013671745793733048,0.007872279432843061,0.007872279432843061,0.007872279432843061,0.006968180114225231,0.006968180114225231,0.006968180114225231,0.0012789697678008336,0.0012789697678008336,0.0012789697678008336,0.0012789697678008336,0.005093827868310217,0.004873315839379038,0.012370724823039097,0.001587686608304483,0.001587686608304483,0.001587686608304483,0.001587686608304483,0.001587686608304483,0.001587686608304483,0.001587686608304483,0.001587686608304483,0.7348122340073651,1.0,0.9603739884010672,0.2766764426999493,0.2766764426999493,0.9889302961476548,0.9743323998324108,1.0,1.0
aibl,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.9939485627836612,0.989409984871407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,
nifd,,,,,,,,,,,0.9407114624505929,,,,,,1.0,0.8181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7984189723320159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9762845849802372,,,,,,,,,,,,,,0.8023715415019763,,0.9525691699604744,0.9486166007905138,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43873517786561267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.8300395256916996,0.8300395256916996
ppmi,,,,,1.0,,,,,,1.0,,,,,,1.0,0.98989898989899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.98989898989899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
oasis,,,,,0.0,,,,,,0.9959266802443992,,,,,,1.0,0.18329938900203666,,,,,,,,,,,,,0.9877800407331976,0.4154786150712831,0.42362525458248473,,,,0.9979633401221996,,,0.9938900203665988,1.0,1.0,,1.0,0.9979633401221996,,,0.9979633401221996,0.9979633401221996,,,0.9816700610997964,,,,,,,0.9959266802443992,0.9796334012219959,,0.9837067209775967,,0.9918533604887984,,0.9959266802443992,,,0.9959266802443992,,0.9938900203665988,0.9837067209775967,0.9613034623217923,0.9959266802443992,,,,,0.9959266802443992,0.9979633401221996,,,,,0.9938900203665988,0.9979633401221996,,,,0.9979633401221996,0.9898167006109979,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9979633401221996,0.9979633401221996,0.9979633401221996,0.9979633401221996,0.9959266802443992,0.9959266802443992,0.9979633401221996,0.9979633401221996,0.9979633401221996,0.9938900203665988,0.9979633401221996,,,,,,,,,,,,,,,,,0.9918533604887984,0.9083503054989817,0.890020366598778,0.9816700610997964,0.8920570264765784,0.9837067209775967,0.9144602851323829,0.9857433808553971,0.9877800407331976,0.9938900203665988,0.9857433808553971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9938900203665988,,,,,,,0.7759674134419552,0.7759674134419552,,,,,0.7739307535641547,0.7739307535641547,0.7739307535641547,0.7739307535641547,0.7718940936863544,,0.7657841140529531,,,0.7515274949083504,,,,0.769857433808554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.9979633401221996,,,,,1.0,0.9959266802443992
rtni,,,,,0.9375,,,,,,0.9875,,,,,,1.0,0.9625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9875,0.9875,0.9875,0.9875,0.9875,0.9875,0.9875,0.9875,0.9875,0.9875,0.9875,,,,,,,,,,,,,,,,,0.9125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9375,,,,,,,,,,,,,,,,,,,0.6125,,0.6125,0.575,,0.55,,,,,,,,,,,,,,,,,,,,,0.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.9875,,,,,1.0,1.0
stanford,,,,,0.0,,,,,,0.9945054945054945,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9725274725274725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
adni,,,,,0.9950083194675541,,,,,0.46089850249584025,1.0,0.45923460898502494,,,0.45341098169717137,0.4604825291181364,1.0,0.9958402662229617,0.7574875207986689,0.19217970049916805,0.1896838602329451,,,,,,,,,,,0.14018302828618967,,,,,0.697171381031614,,,,,,,,,,,,0.7574875207986689,,,,,,,,,,,,,,,,,,,,,,0.7574875207986689,,,,,,,,,,,,,,0.697171381031614,,,,,,0.34359400998336104,,,,0.697171381031614,,,,,,,,,,,,,,,,,,,,,,,0.012063227953410981,0.4584026622296173,,0.456738768718802,0.456738768718802,0.4554908485856905,,,,,,,0.4363560732113145,0.4363560732113145,0.4367720465890183,0.4367720465890183,0.4367720465890183,0.4367720465890183,0.4367720465890183,0.4367720465890183,0.4367720465890183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7961730449251248,0.7961730449251248,0.7961730449251248,0.7961730449251248,0.7957570715474209,0.7961730449251248,0.7961730449251248,0.7957570715474209,0.7957570715474209,0.7936772046589018,0.7961730449251248,,0.46089850249584025,0.46089850249584025,0.4604825291181364,0.46089850249584025,0.46089850249584025,0.46089850249584025,0.46089850249584025,0.46089850249584025,0.4604825291181364,0.4604825291181364,0.46089850249584025,0.4604825291181364,0.46089850249584025,0.46089850249584025,0.46089850249584025,0.9995840266222962,0.9708818635607321,0.9704658901830283,0.9708818635607321,0.9700499168053245,0.971297836938436,0.971297836938436,0.971297836938436,0.9708818635607321,0.9717138103161398,0.9708818635607321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46089850249584025,0.46089850249584025,,1.0,,,,,,,0.7574875207986689,0.7816139767054908,,,,,0.34068219633943425,0.34068219633943425,0.3386023294509151,0.3386023294509151,0.9750415973377704,,0.5490848585690515,,,0.543261231281198,,,,0.699667221297837,,,,,,,,,,,,,,,,,,,0.6339434276206323,0.4604825291181364,0.4600665557404326,0.4600665557404326,0.4600665557404326,0.45965058236272877,0.46089850249584025,,0.46089850249584025,0.46089850249584025,0.46089850249584025,0.46089850249584025,0.46089850249584025,0.46089850249584025,0.46089850249584025,,,0.46089850249584025,0.46089850249584025,0.46089850249584025,0.46089850249584025,0.46089850249584025,0.46089850249584025,,,,,,,,,,,0.21173044925124793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7279534109816972,1.0,0.7899334442595674,,,,,0.9995840266222962,0.9995840266222962
fhs,,,,,1.0,,1.0,,,,,0.5372501514233797,,,,0.5378558449424591,0.6523319200484555,1.0,,,,,,,,,,,,0.6262870987280436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6486977589339794,,,,,,,,,0.6450635978195033,0.4572986069049061,0.5808600847970927,0.45608721986674744,0.6341611144760751,0.6341611144760751,,,,,,,,,,,,,0.6523319200484555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4524530587522714,,,,,,,,,,,,,,,,,,,,,,,,,,0.3634161114476075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,
